n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
43,entropy,log2,2.3663170337677,0.032997846603393555,0.21610169491525424,0.9464184997179921,0.7081481481481482,0.6533928321293498,0.8559141033081834
44,gini,sqrt,2.7498300075531006,0.036042213439941406,0.2185230024213075,0.9486745628877609,0.7265025215069713,0.6699217577491846,0.8659104130308319
44,gini,log2,2.1851511001586914,0.03697037696838379,0.27602905569007263,0.9458544839255499,0.7000761228114691,0.6454310327576891,0.8583553166835137
44,entropy,sqrt,3.025313377380371,0.03396344184875488,0.2185230024213075,0.9486745628877609,0.7265025215069713,0.6699217577491846,0.8659104130308319
44,entropy,log2,2.4449946880340576,0.03402233123779297,0.274818401937046,0.9447264523406655,0.6903222356883154,0.6371665699477718,0.8526041666666666
45,gini,sqrt,2.9123897552490234,0.032967329025268555,-0.08292978208232446,0.9498025944726453,0.7487840950881421,0.6973340603926119,0.8501224902806626
45,gini,log2,2.163478136062622,0.03550839424133301,0.27905569007263925,0.9486745628877609,0.7235047444085898,0.6660921897824825,0.8709884682429714
45,entropy,sqrt,3.1475770473480225,0.03295159339904785,0.16162227602905568,0.952058657642414,0.7551220368230941,0.6985447141456387,0.8741209630286004
45,entropy,log2,2.510664224624634,0.030917882919311523,0.1549636803874092,0.9458544839255499,0.7067037950951875,0.6530901686910932,0.8484491357518618
46,gini,sqrt,2.895690441131592,0.04089188575744629,0.2796610169491525,0.949238578680203,0.7280341146152902,0.6702244211874412,0.8732612988152699
46,gini,log2,2.326333522796631,0.033422231674194336,0.3407990314769976,0.9498025944726453,0.7295815632127967,0.6705270846256979,0.8808943816207035
46,entropy,sqrt,3.266082763671875,0.03053450584411621,0.21912832929782083,0.949238578680203,0.7309650660911788,0.6740539891541433,0.8682082760080432
46,entropy,log2,2.4976842403411865,0.027996540069580078,0.3383777239709443,0.9475465313028765,0.7110824530017715,0.6539981590058632,0.8717753623188406
47,gini,sqrt,2.8684332370758057,0.033007144927978516,0.22336561743341404,0.9531866892272983,0.760883871250786,0.702979608988854,0.8824777059256047
47,gini,log2,2.250869035720825,0.041007041931152344,0.2215496368038741,0.9514946418499718,0.7483363042186572,0.6905829147739779,0.8767181535905701
47,entropy,sqrt,3.0808959007263184,0.031996726989746094,0.3371670702179177,0.9464184997179921,0.7015114488395213,0.6457336961959459,0.8666951990131164
47,entropy,log2,2.404961585998535,0.03002643585205078,0.21610169491525424,0.9464184997179921,0.7081481481481482,0.6533928321293498,0.8559141033081834
48,gini,sqrt,2.8504762649536133,0.03201889991760254,0.09987893462469734,0.9509306260575296,0.7493602023954022,0.6941098193024233,0.8657642201315963
48,gini,log2,2.183887481689453,0.035062313079833984,0.03571428571428571,0.9475465313028765,0.7264129498766371,0.6731459988393732,0.8479491303910727
48,entropy,sqrt,3.1636829376220703,0.030979633331298828,0.46307506053268765,0.9509306260575296,0.7327251461988303,0.6711324115022111,0.8970748694138131
48,entropy,log2,2.3944437503814697,0.03091740608215332,0.2185230024213075,0.9486745628877609,0.7265025215069713,0.6699217577491846,0.8659104130308319
49,gini,sqrt,2.861117124557495,0.036051273345947266,-0.08353510895883777,0.949238578680203,0.744671658986175,0.6932018289876534,0.8478607458115655
49,gini,log2,2.216099977493286,0.030956029891967773,-0.08777239709443099,0.9452904681331077,0.7146457649250946,0.6642762091529426,0.8301246607017191
